time,RSSIDB,RSSIDC,DistDB,DistDC,DistBC,flying,Pos
1717505361 , 84 , 76 , 5.623413 , 28.183829 , 33.807243 , 1 , -16.903621 
1717505366 , 74 , 74 , 1.778279 , 22.387211 , 24.165491 , 1 , -12.082745 
1717505370 , 90 , 71 , 11.220185 , 15.848932 , 27.069116 , 1 , -13.534558 
1717505375 , 88 , 64 , 8.912509 , 7.079458 , 15.991967 , 1 , -7.995984 
1717505380 , 87 , 61 , 7.943282 , 5.011872 , 12.955155 , 1 , -6.477577 
1717505385 , 84 , 82 , 5.623413 , 56.234133 , 61.857546 , 1 , -30.928773 
1717505390 , 77 , 96 , 2.511886 , 281.838293 , 284.350180 , 1 , -142.175090 
1717505395 , 76 , 82 , 2.238721 , 56.234133 , 58.472854 , 1 , -29.236427 
1717505400 , 81 , 82 , 3.981072 , 56.234133 , 60.215204 , 1 , -30.107602 
1717505406 , 79 , 89 , 3.162278 , 125.892541 , 129.054819 , 1 , -64.527409 
1717505411 , 87 , 89 , 7.943282 , 125.892541 , 133.835824 , 1 , -66.917912 
1717505415 , 83 , 92 , 5.011872 , 177.827941 , 182.839813 , 1 , -91.419907 
