[INFO: Main      ] Starting Contiki-NG-develop/v4.9-587-gaa73221fb-dirty
[INFO: Main      ] - Routing: RPL Lite + movable node extension
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: TSCH
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 TSCH default hopping sequence length: 2
[INFO: Main      ] Node ID: 62214
[INFO: Main      ] Link-layer address: 0012.4b00.0f19.f306
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:f19:f306
[INFO: CC26x0/CC13x0] TI SmartRF06EB + CC26xx EM
[INFO: CC26x0/CC13x0]  RF: Channel 26, PANID 0xABCD
Default TX value is 5
THe min Radio value is -21
THe max Radio value is 5
THe new Radio value is -5
186,-72,0,186,186,0
187,-77,0,187,187,0
188,-78,0,188,188,0
189,-78,0,189,189,0
190,-71,0,190,190,0
191,-71,0,191,191,0
192,-76,0,192,192,0
193,-76,0,193,193,0
194,-77,0,194,194,0
195,-80,0,195,195,0
196,-82,0,196,196,0
197,-81,0,197,197,0
198,-79,0,198,198,0
199,-80,0,199,199,0
200,-80,0,200,200,0
201,-76,0,201,201,0
202,-77,0,202,202,0
203,-71,0,203,203,0
204,-70,0,204,204,0
205,-70,0,205,205,0
206,-77,0,206,206,0
207,-72,0,207,207,0
208,-70,0,208,208,0
209,-71,0,209,209,0
210,-74,0,210,210,0
211,-74,0,211,211,0
212,-73,0,212,212,0
213,-69,0,213,213,0
214,-74,0,214,214,0
215,-72,0,215,215,0
216,-74,0,216,216,0
217,-77,0,217,217,0
218,-72,0,218,218,0
219,-76,0,219,219,0
220,-76,0,220,220,0
