time,RSSIBD,RSSIDC,DistDB,DistDC,DistBC,flying,movement
1717603149 , 88 , 1 , 12.589254 , 0.001995 , 12.591249 , 0 , 0.000000 
1717603154 , 88 , 1 , 12.589254 , 0.001995 , 12.591249 , 0 , 0.000000 
1717603160 , 91 , 1 , 17.782794 , 0.001995 , 17.784789 , 0 , 0.000000 
1717603165 , 79 , 1 , 4.466836 , 0.001995 , 4.468831 , 0 , 0.000000 
1717603170 , 85 , 1 , 8.912509 , 0.001995 , 8.914505 , 0 , 0.000000 
1717603175 , 85 , 1 , 8.912509 , 0.001995 , 8.914505 , 0 , 0.000000 
1717603179 , 84 , 1 , 7.943282 , 0.001995 , 7.945278 , 0 , 0.000000 
1717603184 , 85 , 1 , 8.912509 , 0.001995 , 8.914505 , 0 , 0.000000 
1717603190 , 89 , 1 , 14.125375 , 0.001995 , 14.127371 , 0 , 0.000000 
1717603195 , 90 , 1 , 15.848932 , 0.001995 , 15.850927 , 0 , 0.000000 
